Rio Chama Bug Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 3 (2022): April 14 - September 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (m/dd/yy),Barcode,Campsite Name,River Mile,River Side,Wind,Habitat Type,Air Temperature (Celsius),Water Temperature (Celsius),Time Open (24hr),Time Closed (24hr),Total Time (mins),Rain?,Flow (cfs) at El Vado Guaging Station,Flow (cfs) at Abiquiu Guaging Station Above Resevoir,,,,,,,,,,,,,,
4/14/2022,L13879,Meandering Rapid Camp,23.8,L,<10mph (light wind),Vegetation,7.9,10.5,20:06,21:06,60,N,488,455,,,,,,,,,,,,,,
4/15/2022,L13882,Chama Wall,15,R,0-1mph (calm),Vegetation,14.4,11.1,19:35,20:35,60,N,481,462,,,,,,,,,,,,,,
4/15/2022,L13873,Below Hotsprings,4,L,0-1mph (calm),,6.2,8.2,20:45,21:45,60,N,481,462,,,,,,,,,,,,,,
4/15/2022,L13888,Lazy River,7.3,R,0-1mph (calm),Vegetation,8.9,11.2,19:54,20:52,58,N,481,462,,,,,,,,,,,,,,
4/16/2022,L13884,Across from Last Chance,17.9,R,<10mph (light wind),Sand,18,12.6,19:59,20:59,60,N,481,442,,,,,,,,,,,,,,
4/16/2022,L13872,Chama Wall,16.2,R,>10mph (strong wind),Sand,15.7,12.4,19:48,20:48,60,N,481,442,,,,,,,,,,,,,,
4/22/2022,L13878,Above Sleeper,8,R,<10mph (light wind),Sand,10.5,7.3,19:42,20:35,53,N,1230,1200,,,,,,,,,,,,,,
4/22/2022,L13881,Aragon Camp,10,R,>10mph (strong wind),Sand,11.7,8.6,19:53,20:53,60,N,1230,1200,,,,,,,,,,,,,,
4/22/2022,L12941,Tiger Wall,12.5,L,<10mph (light wind),Sand,9.9,7.6,20:00,21:00,60,N,1230,1200,,,,,,,,,,,,,,
4/23/2022,L13842,Huckbay #2,17.5,L,0-1mph (calm),Sand,7.1,9.1,19:50,20:50,60,N,1220,1250,,,,,,,,,,,,,,
4/23/2022,L13880,Mile 16.8 Camp,16.8,R,<10mph (light wind),Sand,8.9,10.3,19:30,20:30,60,N,1220,1250,,,,,,,,,,,,,,
4/29/2022,L12934,Burrow,x,L,<10mph (light wind),Vegetation,13.6,8.9,20:16,21:18,62,N,1860,2150,,,,,,,,,,,,,,
4/29/2022,L12925,Huckbay #1,17.9,L,0-1mph (calm),Rock,11.1,8.9,20:09,21:09,60,N,1860,2150,,,,,,,,,,,,,,
4/30/2022,L13841,Lower Chama Wall,16.2,R,0-1mph (calm),Vegetation,12,10.8,20:15,21:15,60,N,1860,2120,,,,,,,,,,,,,,
4/30/2022,L13890,Mile 26.8 Camp,26.8,R,<10mph (light wind),Sand,18.8,10.2,18:00,19:10,70,N,1860,2120,,,,,,,,,,,,,,
4/30/2022,L12942,Huckbay #1,17.9,L,0-1mph (calm),Rock,11.7,8.9,19:45,20:45,60,N,1860,2120,,,,,,,,,,,,,,
5/6/2022,L13887,Aragon Rock,10,R,<10mph (light wind),Rock,19.5,10.7,19:10,20:10,60,N,1500,1480,,,,,,,,,,,,,,
5/6/2022,L12923,Aragon Rock,10,R,<10mph (light wind),Sand/Rock,19.5,10.7,19:10,20:10,60,N,1500,1480,,,,,,,,,,,,,,
5/6/2022,L12922,Hot Springs,3.9,L,0-1mph (calm),Vegetation,20.3,9.7,20:00,21:00,60,N,1500,1480,,,,,,,,,,,,,,
5/13/2022,L12943,"Beaver, above Sleeper",8,R,<10mph (light wind),Sand/Vegetation,18,14.1,19:45,20:45,60,N,965,973,,,,,,,,,,,,,,
5/13/2022,L12927,Rio Cebolla,14,L,0-1mph (calm),Vegetation,15,13.7,19:35,20:36,61,N,965,973,,,,,,,,,,,,,,
5/14/2022,L12800,Chama Wall,16.2,R,0-1mph (calm),Sand/Vegetation,12.6,15,20:00,21:00,60,N,844,942,,,,,,,,,,,,,,
5/14/2022,L12924,Mile 26,26,R,0-1mph (calm),Sand,20.1,15,20:04,21:01,57,N,844,942,,,,,,,,,,,,,,
5/15/2022,L12929,below Aragon,11.6,R,0-1mph (calm),Sand (with some grass),17,13,20:00,21:00,60,N,829,795,,,,,,,,,,,,,,
5/16/2022,L12958,Lower Huckbay,17.8,L,0-1mph (calm),Sand,16,15,20:15,21:15,60,N,854,815,,,,,,,,,,,,,,
