Sampling_type,SiteName,siteID,site_group,SiteID,site_num,Fluoride,Chloride,Nitrite,Bromide,NitrateN,PhosphateP,Sulfate,NH4N
Center,Alameda,Al_1,Al,Alameda_1,1,.,11.12,.,0.06,0.13,0.02,45.36,0.01
Ditch,Alameda,Al_2,Al,Alameda_2,2,.,10.63,.,0.05,0.04,0.01,54.14,0.01
East,Alameda,Al_3,Al,Alameda_3,3,.,11.93,.,0.05,0.06,0.08,47.94,0.01
North,Alameda,Al_4,Al,Alameda_4,4,.,.,.,.,.,.,.,.
River,Alameda,Al_5,Al,Alameda_5,5,.,10.62,.,0.04,0.12,0.03,41.7,0.01
South,Alameda,Al_6,Al,Alameda_6,6,.,11.85,.,0.05,0.02,0.05,46.2,0.07
West,Alameda,Al_7,Al,Alameda_7,7,.,9.86,.,0.05,0.07,0.02,44.12,0.01
Center,Alameda,Al_8,Al,Alameda_8,8,.,13.54,.,0.05,0.11,0.03,45.31,0.02
Ditch,Alameda,Al_9,Al,Alameda_9,9,.,14.41,.,0.06,0.08,0.02,49.27,0.05
East,Alameda,Al_10,Al,Alameda_10,10,.,.,.,.,.,.,.,.
North,Alameda,Al_11,Al,Alameda_11,11,.,13.15,.,0.06,0.13,0.05,44.38,0.01
River,Alameda,Al_12,Al,Alameda_12,12,.,15,.,0.05,0.04,0.04,43.75,0.03
South,Alameda,Al_13,Al,Alameda_13,13,.,.,.,.,.,.,.,.
West,Alameda,Al_14,Al,Alameda_14,14,.,13.11,.,0.06,0.08,0.04,44.32,0.01
Center,Alameda,Al_15,Al,Alameda_15,15,.,6.36,.,0.04,0.11,0.06,37.93,0
East,Alameda,Al_16,Al,Alameda_16,16,.,7.22,.,0.04,0.07,0.05,37.03,0.01
South,Alameda,Al_17,Al,Alameda_17,17,.,8.66,.,0.06,0.08,0.03,46.48,0.01
North,Alameda,Al_18,Al,Alameda_18,18,.,3.9,.,0.04,0.1,0.07,18.09,0.03
River,Alameda,Al_19,Al,Alameda_19,19,.,5.96,.,0.04,0.1,0.04,40.74,0.02
West,Alameda,Al_20,Al,Alameda_20,20,.,4.46,.,0.02,0.08,0.01,29.06,0.02
Center,Alameda,Al_21,Al,Alameda_21,21,.,14.25,.,0.05,0.03,0.02,104.76,0
East,Alameda,Al_22,Al,Alameda_22,22,.,14.48,.,0.07,0.02,0.02,95.72,0
North,Alameda,Al_23,Al,Alameda_23,23,.,15.89,.,0.06,0.04,0.01,130.61,0
River,Alameda,Al_24,Al,Alameda_24,24,.,12.04,.,0.03,0.25,0.03,43.93,0.06
South,Alameda,Al_25,Al,Alameda_25,25,.,17.03,.,0.07,0.02,0.02,111.86,0
West,Alameda,Al_26,Al,Alameda_26,26,.,11.05,.,0.05,0.04,0.03,85.75,0
Center,Alameda,Al_27,Al,Alameda_27,27,.,10.43,.,0.04,0.13,0.02,33.93,0
East,Alameda,Al_28,Al,Alameda_28,28,.,11.6,.,0.05,0.02,0.01,54.3,0
North,Alameda,Al_29,Al,Alameda_29,29,.,11.15,.,0.04,0.11,0.03,36.24,0
River,Alameda,Al_30,Al,Alameda_30,30,.,8.15,.,0.03,0.09,0.02,32.91,0.02
South,Alameda,Al_31,Al,Alameda_31,31,.,10.6,.,0.05,0.04,0.02,37.5,0
West,Alameda,Al_32,Al,Alameda_32,32,.,8.39,.,0.03,0.07,0.01,33.51,0
East,Alameda,Al_33,Al,Alameda_33,33,.,18.51,.,0.06,0.05,0.02,50.83,0.01
North,Alameda,Al_34,Al,Alameda_34,34,.,21.63,.,0.07,0.17,0.03,51.55,0.01
River,Alameda,Al_35,Al,Alameda_35,35,.,15.11,.,0.07,0.1,0.02,43.4,0.02
South,Alameda,Al_36,Al,Alameda_36,36,.,17.5,.,0.06,0.11,0.02,49.3,0.01
Center,Alameda,Al_37,Al,Alameda_37,37,.,19.44,.,0.08,0.16,0.04,50.17,0.01
West,Alameda,Al_38,Al,Alameda_38,38,.,16.71,.,0.08,0.13,0.02,47.45,0.01
Center,Alameda,Al_39,Al,Alameda_39,39,.,6.03,.,0.02,0.1,0.02,25.74,0
East,Alameda,Al_40,Al,Alameda_40,40,.,9.54,.,0.05,0.06,0.02,47.72,0
North,Alameda,Al_41,Al,Alameda_41,41,.,10.61,.,0.08,0.16,0.01,48.77,0
River,Alameda,Al_42,Al,Alameda_42,42,.,9.08,.,0.04,0.06,0.02,45.88,0
South,Alameda,Al_43,Al,Alameda_43,43,.,10.5,.,0.04,0.13,0.02,50.38,0
West,Alameda,Al_44,Al,Alameda_44,44,.,10.38,.,0.05,0.1,0.04,48.24,0
Center,Alameda,Al_45,Al,Alameda_45,45,.,4.36,.,0.03,0.08,0.04,34.11,0.01
East,Alameda,Al_46,Al,Alameda_46,46,.,3.65,.,0.04,0.02,0.04,32.55,0
North,Alameda,Al_47,Al,Alameda_47,47,.,4.29,.,0.03,0.08,0.03,34.27,0.01
River,Alameda,Al_48,Al,Alameda_48,48,.,9.01,.,0.04,0.07,0,39.19,0.02
South,Alameda,Al_49,Al,Alameda_49,49,.,4.13,.,0.03,0.01,0.02,33.94,0.01
West,Alameda,Al_50,Al,Alameda_50,50,.,4.68,.,0.04,0.07,0.03,34.99,0
Center,Alameda,Al_51,Al,Alameda_51,51,.,9.86,.,0.02,0.17,0.05,41.39,0
East,Alameda,Al_52,Al,Alameda_52,52,.,9.25,.,0.05,0.1,0.07,42.82,0
North,Alameda,Al_53,Al,Alameda_53,53,.,10.01,.,0.01,0.24,0.01,42.14,0
River,Alameda,Al_54,Al,Alameda_54,54,.,9.99,.,0.05,0.06,0.01,47.95,0
South,Alameda,Al_55,Al,Alameda_55,55,.,9.37,.,0.03,0.16,0.03,42.79,0
West,Alameda,Al_56,Al,Alameda_56,56,.,9.36,.,0.04,0.15,0.04,42.01,0
Center,Badger,Bg_1,Bg,Badger_1,1,,10.69,,0.05,0.08,0.01,42.6,0.01
East,Badger,Bg_2,Bg,Badger_2,2,,10.76,,0.05,0.1,0.03,42.04,0.01
North,Badger,Bg_3,Bg,Badger_3,3,,9.66,,0.05,0.14,0.1,41.74,0.01
South,Badger,Bg_4,Bg,Badger_4,4,,10.5,,0.05,0.13,0.02,43.51,0.02
West,Badger,Bg_5,Bg,Badger_5,5,.,9.8,.,0.05,0.03,0.08,41.64,0.03
Center,Badger,Bg_6,Bg,Badger_6,6,.,13.9,.,0.05,0.07,0.03,44.97,0
East,Badger,Bg_7,Bg,Badger_7,7,.,12.75,.,0.04,0.06,0.02,45.48,0.01
North,Badger,Bg_8,Bg,Badger_8,8,.,13.76,.,0.05,0.16,0,43.4,0
River,Badger,Bg_9,Bg,Badger_9,9,.,16.65,.,0.06,0.03,0.01,44.02,0.04
South,Badger,Bg_10,Bg,Badger_10,10,.,13.62,.,0.06,0.09,0.04,45.9,0.01
West,Badger,Bg_11,Bg,Badger_11,11,.,13.27,.,0.05,0.11,0.03,44.24,0.02
Center,Badger,Bg_12,Bg,Badger_12,12,.,6.56,.,0.04,0.1,0.05,39.17,0.03
Ditch,Badger,Bg_13,Bg,Badger_13,13,.,9.51,.,0.04,0.06,0.03,44.8,0.07
East,Badger,Bg_14,Bg,Badger_14,14,.,6.95,.,0.07,0.1,0.05,39.84,0.02
North,Badger,Bg_15,Bg,Badger_15,15,.,5.68,.,0.05,0.14,0.03,39.84,0.01
River,Badger,Bg_16,Bg,Badger_16,16,.,5.22,.,0.01,0.06,0.02,40.73,0.03
South,Badger,Bg_17,Bg,Badger_17,17,.,6.83,.,0.03,0.13,0.03,41.09,0.01
West,Badger,Bg_18,Bg,Badger_18,18,.,5.93,.,0.03,0.04,0.04,39.15,0.03
Center,Badger,Bg_19,Bg,Badger_19,19,.,15.86,.,0.07,0.02,0.02,110.77,0
Ditch,Badger,Bg_20,Bg,Badger_20,20,.,13.88,.,0.05,0.09,0.02,70.76,0.01
East,Badger,Bg_21,Bg,Badger_21,21,.,14.62,.,0.06,0.02,0.02,79.37,0
North,Badger,Bg_22,Bg,Badger_22,22,.,9.94,.,0.04,0.12,0.03,67.83,0
River,Badger,Bg_23,Bg,Badger_23,23,.,11.07,.,0.04,0.29,0.04,67.04,0
South,Badger,Bg_24,Bg,Badger_24,24,.,15.72,.,0.09,0.02,0.01,111.79,0
