Center,SiteName,SitenNumber,Chlorideg,PhosphatePg,Sulfateg,NH4Ng,,Chlorided,PhosphatePd,Sulfated,NH4Nd,Chlorider,PhosphatePr,Sulfater,NH4Nr
Center,Alameda,1,11.12,0.02,45.36,0.01,,51.176,0,203.84,,10.44,0.03,54.04,0.02
Center,Alameda,2,10.63,0.01,54.14,0.01,,24.495,0.7831,69.51,,7.73,0.01,233.12,0.01
Center,Alameda,3,11.93,0.08,47.94,0.01,,183.829,0,76.79,,5.9,0.03,36.55,0.02
Center,Alameda,4,.,.,.,.,,59.323,0.5122,225.15,,7.32,0.1,31.03,0.14
Center,Alameda,5,10.62,0.03,41.7,0.01,,20.297,0,70.2425,,13.75,0.07,40.72,0
Center,Alameda,6,11.85,0.05,46.2,0.07,,57.677,0,0,,13.8,0.05,39.09,0
Center,Alameda,7,9.86,0.02,44.12,0.01,,50.777,0,0,,10.71,0.03,120.11,0
Center,Alameda,8,13.54,0.03,45.31,0.02,,15.349,0.7476,43.58,,10.5,0.04,43.87,0
Center,Alameda,9,14.41,0.02,49.27,0.05,,100.147,0,39.8861,,9.22,0.09,30.78,0.1
Center,Alameda,10,.,.,.,.,,42.06,0.8136,0,,10.82,0.01,32.2,0.02
Center,Alameda,11,13.15,0.05,44.38,0.01,,20.77,0.92,87.15,,7.78,0.01,33.46,0.02
Center,Alameda,12,15,0.04,43.75,0.03,,59.21,0,149.04,,12.9,.,36.5,0.01
Center,Alameda,13,.,.,.,.,,122.51,0,323.75,,10.94,0.04,31.92,0.01
Center,Alameda,14,13.11,0.04,44.32,0.01,,15.66,0.51,51.62,,11.43,0.04,57.1,0.12
Center,Alameda,15,6.36,0.06,37.93,0,,34.01,0,174.11,,10.73,0.05,73.57,0
Center,Alameda,16,7.22,0.05,37.03,0.01,,36.87,0.2,171.93,,21.63,0.03,143.55,0
Center,Alameda,17,8.66,0.03,46.48,0.01,,31.57,0.7852,129.0582,,17.76,0.02,78.92,0
Center,Alameda,18,3.9,0.07,18.09,0.03,,55.94,0,219.1262,,8.1,0.03,58.99,0
Center,Alameda,19,5.96,0.04,40.74,0.02,,79.73,0,301.7373,,9.08,0.04,38.6,0.07
Center,Alameda,20,4.46,0.01,29.06,0.02,,28.45,1.4609,81.067,,13.76,0.09,62.24,0
Center,Alameda,21,14.25,0.02,104.76,0,,81.316,0,367.3562,,10.16,0.04,39.93,0.01
Center,Alameda,22,14.48,0.02,95.72,0,,58.117,0.1632,249.4406,,15.96,0.02,89.91,0.01
Center,Alameda,23,15.89,0.01,130.61,0,,24.642,0.744,87.4197,,10.29,0.05,50.2,0
Center,Alameda,24,12.04,0.03,43.93,0.06,,52.769,0,189.2367,,7.57,0.07,37.3,0.09
Center,Alameda,25,17.03,0.02,111.86,0,,74.4,0,266,,16.46,0.04,48.48,0.01
Center,Alameda,26,11.05,0.03,85.75,0,,21.81,0.8251,42.7136,,20.81,0.04,52.79,0
Center,Alameda,27,10.43,0.02,33.93,0,,93.218,0.5338,323.1889,,12.04,0.02,58.09,0.01
Center,Alameda,28,11.6,0.01,54.3,0,,43.818,0.6712,162.5958,,12.57,0.03,42.86,0
Center,Alameda,29,11.15,0.03,36.24,0,,24.254,0,126.909,,16.74,0.05,72.69,0.11
